Date,CRUDE_OIL_Price,CPI,DJIA_Price,GEPU_current,GOLD_Price,GPR,IPI,M2,NASDAQ_Price,SP500_Price,OIIR,US_EPU,USD_VND_Price,VIX_Price,VNI_Close price,VNI_Open price,VNI_High price,VNI_Low price,VNI_Volume,OFR FSI,Emerging markets,SMA_10,WMA_10,Momentum_10,Stoch_K,Stoch_D,RSI_14,MACD,Williams_%R,AD_Oscillator,CCI_20,T_spread_US,T_spread_VN,Inflation
7/2/2024,81.91,0.4804129796020427,39331.85,224.09158742641748,2333.4,99.30406536192378,0.7072994070426707,19602352.73855164,18028.76,5509.01,4.76,145.3872780399045,25450,12.03,1269.79,1254.56,1270.47,1254.56,528470,-2.103,-0.175,1281.715,1280.297090909091,-11.39,35.09216589861748,55.96671029205147,51.76455422186695,8.469407674642753,-64.9078341,-3396400.798,-11.3626973,-0.281,0.8560000000000003,0.5054693146828105
7/3/2024,83.02,0.3191117712706496,39308,207.89271567790308,2369.4,98.01945444426114,0.6790653197421204,14524946.28109239,18188.3,5537.02,4.76,147.58330991608983,25450,12.09,1276.85,1269.79,1278.14,1268.23,589510,-2.173,-0.177,1282.8539999999998,1282.6723636363638,8.189999999999827,60.124669437098405,71.33190309,55.76667323765817,9.718867074281889,-39.87533056,-3879696.744,29.616299427343662,-0.237,0.8560000000000003,-0.487506621
7/4/2024,83.94,0.6226651586705607,39308,252.85987814649877,2364.6,74.02889552,0.5764470217046437,13137880.27000245,18188.3,5537.02,4.76,139.84061965705777,25450,12.26,1279.89,1276.85,1283.13,1274.58,523460.00000000006,-2.201,-0.18,1282.035,1283.615090909091,5.4500000000000455,72.68329554043854,78.57147971803539,57.54558213895616,10.453429914195569,-27.31670446,-4315731.89,50.50527297220923,-0.245,0.8560000000000003,1.2204047964609317
7/5/2024,82.26,0.280428668,39375.87,250.7132390918361,2397.7,110.1263489968878,0.680038079,16348443.783441914,18352.76,5567.19,4.76,146.35730079355142,25412,12.48,1283.04,1279.89,1284.98,1276.93,616500,-2.235,-0.176,1281.49,1283.906,18.25999999999999,81.18774429454031,85.89080822090523,59.36772171314369,10.929422049297044,-18.81225571,-4442464.311,63.90592069388912,-0.135,0.8560000000000003,-0.367808416
7/8/2024,81.52,0.4435817789693463,39344.79,219.52969735183905,2363.5,89.63080305099481,0.7102640523390025,17436483.93720016,18403.74,5572.85,4.76,139.60759264275407,25415,12.37,1283.56,1283.04,1287.14,1277.68,766900,-2.298,-0.183,1279.6640000000002,1283.2921818181817,28.919999999999845,81.84339931912734,87.10965409994532,59.65728348996142,11.057260417382397,-18.15660068,-4761818.969,73.94467735853166,-0.164,0.8560000000000003,2.4837861766947973
7/9/2024,80.56,0.1273274984374011,39291.97,198.4011042250119,2367.9,101.4294204,0.811658592,15171961.140305094,18429.29,5576.98,4.76,128.84902538284118,25413,12.51,1293.71,1283.56,1294.15,1283.56,821810,-2.295,-0.186,1276.7720000000002,1282.0580000000002,61.90000000000009,94.64128104904805,88.91204405057591,65.44263341669242,11.00665033,-5.358718951,-4948274.572,105.56854364960074,-0.155,0.8560000000000003,-0.765997079
7/10/2024,81.07,0.5441278154999996,39721.36,259.0834848171668,2379.7,92.45022569559406,0.7168258794404222,17743424.315038774,18647.45,5633.91,4.76,146.28947111484078,25415,12.85,1285.94,1293.71,1297.96,1285.94,751000,-2.266,-0.187,1270.582,1277.852909090909,47.47000000000003,84.84428193166059,85.79120689049314,62.88406612200057,9.748502173673842,-15.15571807,-5701794.411,115.12449056892676,-0.153,0.8560000000000003,0.023983174
7/11/2024,81.38,0.5313835511398343,39753.75,204.01459610382437,2421.9,85.45419553696811,0.6310500328150785,14180660.746882536,18283.41,5584.54,4.76,147.14719060119415,25423,12.92,1283.8,1285.94,1293.32,1283.8,697230,-2.314,-0.192,1265.835,1274.1974545454543,50.61,87.25056917101915,85.51032887958253,62.16771348256409,8.791978497304171,-12.74943083,-4950794.411,120.28635080389064,-0.044,0.8560000000000003,2.171213720997914
7/12/2024,81.02,0.1675647237590215,40000.9,214.12374113436752,2420.7,89.13425319377188,0.653098823,18785654.40868266,18398.45,5615.35,4.76,154.20805035638148,25410,12.46,1280.75,1283.8,1288.67,1277.16,606310,-2.291,-0.187,1260.774,1270.010909090909,38.64,85.27876956879973,85.56185274220081,61.176042375555255,7.661114044958595,-14.72123043,-4253564.411,120.92021291687908,0.013,0.8570000000000002,-0.721610989
7/15/2024,80.84,0.6019085418845751,40211.72,261.90693367427275,2428.9,90.71344999597976,0.5989893215477431,15390012.11046712,18472.57,5631.22,4.76,149.5632765678041,25360,13.12,1279.82,1280.75,1286.37,1276.27,573510,-2.249,-0.189,1256.91,1265.6763636363637,33.22000000000003,84.00164789892872,83.53429088,60.885748064860245,6.416830849,-15.9983521,-4025473.855,133.1829217561447,0.011,0.8570000000000002,0.1735432741919346
